"carrier_name","year","minsDelayed"
"AirTran Airways Corporation",2004,12.45
"AirTran Airways Corporation",2005,17.47
"AirTran Airways Corporation",2006,13.63
"AirTran Airways Corporation",2007,11.88
"AirTran Airways Corporation",2008,12.54
"AirTran Airways Corporation",2009,12.49
"AirTran Airways Corporation",2010,9.04
"AirTran Airways Corporation",2011,8
"AirTran Airways Corporation",2012,6.23
"AirTran Airways Corporation",2013,10.3
"AirTran Airways Corporation",2014,8.54
"Alaska Airlines Inc.",2004,10.59
"Alaska Airlines Inc.",2005,15
"Alaska Airlines Inc.",2006,12.41
"Alaska Airlines Inc.",2007,13.15
"Alaska Airlines Inc.",2008,9.97
"Alaska Airlines Inc.",2009,7.31
"Alaska Airlines Inc.",2010,5.41
"Alaska Airlines Inc.",2011,5.33
"Alaska Airlines Inc.",2012,5.91
"Alaska Airlines Inc.",2013,5.48
"Alaska Airlines Inc.",2014,6.17
"Alaska Airlines Inc.",2015,6.23
"Aloha Airlines Inc.",2006,3.02
"Aloha Airlines Inc.",2007,3.01
"Aloha Airlines Inc.",2008,2.02
"America West Airlines Inc.",2004,9.88
"America West Airlines Inc.",2005,7.77
"American Airlines Inc.",2004,12.58
"American Airlines Inc.",2005,12.06
"American Airlines Inc.",2006,13.32
"American Airlines Inc.",2007,17.15
"American Airlines Inc.",2008,15.82
"American Airlines Inc.",2009,12.32
"American Airlines Inc.",2010,10.29
"American Airlines Inc.",2011,11
"American Airlines Inc.",2012,11.81
"American Airlines Inc.",2013,11.82
"American Airlines Inc.",2014,13.26
"American Airlines Inc.",2015,10.79
"American Eagle Airlines Inc.",2004,12.56
"American Eagle Airlines Inc.",2005,10.92
"American Eagle Airlines Inc.",2006,13.87
"American Eagle Airlines Inc.",2007,15.74
"American Eagle Airlines Inc.",2008,13.61
"American Eagle Airlines Inc.",2009,11.08
"American Eagle Airlines Inc.",2010,10.93
"American Eagle Airlines Inc.",2011,11.07
"American Eagle Airlines Inc.",2012,9.48
"American Eagle Airlines Inc.",2013,14.95
"American Eagle Airlines Inc.",2014,15.43
"ATA Airlines d/b/a ATA",2004,10.54
"ATA Airlines d/b/a ATA",2005,10.12
"ATA Airlines d/b/a ATA",2006,18.88
"Atlantic Coast Airlines",2004,14.89
"Atlantic Southeast Airlines",2004,10.61
"Atlantic Southeast Airlines",2005,13.58
"Atlantic Southeast Airlines",2006,17.25
"Atlantic Southeast Airlines",2007,19.74
"Atlantic Southeast Airlines",2008,14.4
"Atlantic Southeast Airlines",2009,15.52
"Atlantic Southeast Airlines",2010,12.13
"Atlantic Southeast Airlines",2011,14.5
"Comair Inc.",2004,9.64
"Comair Inc.",2005,8.35
"Comair Inc.",2006,12.35
"Comair Inc.",2007,15.6
"Comair Inc.",2008,15.21
"Comair Inc.",2009,15.54
"Comair Inc.",2010,12.89
"Continental Air Lines Inc.",2004,10.96
"Continental Air Lines Inc.",2005,12.02
"Continental Air Lines Inc.",2006,14.74
"Continental Air Lines Inc.",2007,14.84
"Continental Air Lines Inc.",2008,14.67
"Continental Air Lines Inc.",2009,11.35
"Continental Air Lines Inc.",2010,8.68
"Continental Air Lines Inc.",2011,10.73
"Delta Air Lines Inc.",2004,10.41
"Delta Air Lines Inc.",2005,10.86
"Delta Air Lines Inc.",2006,10.8
"Delta Air Lines Inc.",2007,10.88
"Delta Air Lines Inc.",2008,11.34
"Delta Air Lines Inc.",2009,10.3
"Delta Air Lines Inc.",2010,11.18
"Delta Air Lines Inc.",2011,8.71
"Delta Air Lines Inc.",2012,7.07
"Delta Air Lines Inc.",2013,8.79
"Delta Air Lines Inc.",2014,8.7
"Delta Air Lines Inc.",2015,8.25
"Endeavor Air Inc.",2013,8.02
"Envoy Air",2014,14.04
"Envoy Air",2015,12.94
"ExpressJet Airlines Inc.",2004,11.3
"ExpressJet Airlines Inc.",2005,12.17
"ExpressJet Airlines Inc.",2006,14.53
"ExpressJet Airlines Inc.",2007,15.09
"ExpressJet Airlines Inc.",2008,14.73
"ExpressJet Airlines Inc.",2009,11.93
"ExpressJet Airlines Inc.",2010,11.22
"ExpressJet Airlines Inc.",2011,13.65
"ExpressJet Airlines Inc.",2012,13.81
"ExpressJet Airlines Inc.",2013,15.83
"ExpressJet Airlines Inc.",2014,15.78
"ExpressJet Airlines Inc.",2015,11.98
"Frontier Airlines Inc.",2005,7.23
"Frontier Airlines Inc.",2006,7.28
"Frontier Airlines Inc.",2007,9.63
"Frontier Airlines Inc.",2008,8.53
"Frontier Airlines Inc.",2009,9.81
"Frontier Airlines Inc.",2010,8.82
"Frontier Airlines Inc.",2011,9.95
"Frontier Airlines Inc.",2012,10.03
"Frontier Airlines Inc.",2013,14.79
"Frontier Airlines Inc.",2014,15.53
"Frontier Airlines Inc.",2015,17.44
"Hawaiian Airlines Inc.",2004,2.74
"Hawaiian Airlines Inc.",2005,2.23
"Hawaiian Airlines Inc.",2006,3.05
"Hawaiian Airlines Inc.",2007,3.3
"Hawaiian Airlines Inc.",2008,4.42
"Hawaiian Airlines Inc.",2009,3.21
"Hawaiian Airlines Inc.",2010,3.2
"Hawaiian Airlines Inc.",2011,3.15
"Hawaiian Airlines Inc.",2012,3.08
"Hawaiian Airlines Inc.",2013,3.11
"Hawaiian Airlines Inc.",2014,3.3
"Hawaiian Airlines Inc.",2015,4.47
"Independence Air",2004,10.88
"Independence Air",2005,10.83
"JetBlue Airways",2004,7.64
"JetBlue Airways",2005,14.34
"JetBlue Airways",2006,15.62
"JetBlue Airways",2007,18.7
"JetBlue Airways",2008,17.02
"JetBlue Airways",2009,13.06
"JetBlue Airways",2010,13.49
"JetBlue Airways",2011,15.47
"JetBlue Airways",2012,12.1
"JetBlue Airways",2013,14.9
"JetBlue Airways",2014,12.95
"JetBlue Airways",2015,13.52
"Mesa Airlines Inc.",2006,15.6
"Mesa Airlines Inc.",2007,14.55
"Mesa Airlines Inc.",2008,15
"Mesa Airlines Inc.",2009,11.46
"Mesa Airlines Inc.",2010,8.08
"Mesa Airlines Inc.",2011,8.34
"Mesa Airlines Inc.",2012,7.36
"Mesa Airlines Inc.",2013,12.03
"Northwest Airlines Inc.",2004,8.77
"Northwest Airlines Inc.",2005,11.62
"Northwest Airlines Inc.",2006,10.99
"Northwest Airlines Inc.",2007,14.1
"Northwest Airlines Inc.",2008,11.36
"Northwest Airlines Inc.",2009,9.9
"Pinnacle Airlines Inc.",2007,12.03
"Pinnacle Airlines Inc.",2008,10.02
"Pinnacle Airlines Inc.",2009,7.92
"Pinnacle Airlines Inc.",2010,10
"Pinnacle Airlines Inc.",2013,12.21
"SkyWest Airlines Inc.",2004,7.14
"SkyWest Airlines Inc.",2005,7.53
"SkyWest Airlines Inc.",2006,11.06
"SkyWest Airlines Inc.",2007,11.56
"SkyWest Airlines Inc.",2008,10.9
"SkyWest Airlines Inc.",2009,8.83
"SkyWest Airlines Inc.",2010,10.36
"SkyWest Airlines Inc.",2011,9.95
"SkyWest Airlines Inc.",2012,9.04
"SkyWest Airlines Inc.",2013,10.41
"SkyWest Airlines Inc.",2014,11.8
"SkyWest Airlines Inc.",2015,11.06
"Southwest Airlines Co.",2004,8.37
"Southwest Airlines Co.",2005,8.04
"Southwest Airlines Co.",2006,8.66
"Southwest Airlines Co.",2007,8.96
"Southwest Airlines Co.",2008,9.26
"Southwest Airlines Co.",2009,7.56
"Southwest Airlines Co.",2010,8.92
